lon,lat,HGT surface d=2019080707 anl
282.794423,32.325332,0
282.820994,32.322366,0
282.847565,32.319395,0
282.874134,32.316420,0
282.900701,32.313440,0
282.927267,32.310456,0
282.953832,32.307467,0
282.980395,32.304474,0
283.006957,32.301477,0
283.033518,32.298475,0
283.060077,32.295469,0
283.086634,32.292458,0
283.113191,32.289443,0
283.139746,32.286424,0
283.166299,32.283400,0
283.192852,32.280372,0
283.219402,32.277339,0
283.245952,32.274302,0
283.272500,32.271260,0
283.299046,32.268214,0
283.325591,32.265164,0
283.352135,32.262109,0
283.378677,32.259050,0
283.405218,32.255986,0
283.431758,32.252918,0
283.458296,32.249845,0
283.484832,32.246769,0
283.511367,32.243687,0
283.537901,32.240602,0
283.564433,32.237511,0
283.590964,32.234417,0
283.617494,32.231318,0
283.644022,32.228215,0
283.670548,32.225107,0
283.697074,32.221995,0
283.723597,32.218878,0
283.750120,32.215757,0
283.776640,32.212631,0
283.803160,32.209502,0
283.829678,32.206367,0
283.856194,32.203229,0
283.882709,32.200086,0
283.909223,32.196938,0
283.935735,32.193786,0
283.962246,32.190630,0
283.988755,32.187469,0
284.015262,32.184304,0
284.041769,32.181134,0
284.068274,32.177961,0
284.094777,32.174782,0
284.121279,32.171599,0
284.147779,32.168412,0
284.174278,32.165221,0
284.200776,32.162025,0
284.227272,32.158824,0
284.253766,32.155619,0
284.280259,32.152410,0
284.306751,32.149197,0
284.333241,32.145979,0
284.359729,32.142756,0
284.386216,32.139529,0
284.412702,32.136298,0
284.439186,32.133062,0
284.465669,32.129822,0
284.492150,32.126578,0
284.518629,32.123329,0
284.545107,32.120076,0
284.571584,32.116818,0
284.598059,32.113556,0
284.624533,32.110290,0
284.651005,32.107019,0
284.677475,32.103744,0
284.703944,32.100464,0
284.730412,32.097180,0
284.756878,32.093891,0
284.783343,32.090598,0
284.809806,32.087301,0
284.836267,32.083999,0
284.862727,32.080693,0
284.889186,32.077383,0
284.915642,32.074068,0
284.942098,32.070749,0
284.968552,32.067425,0
284.995004,32.064097,0
285.021455,32.060765,0
285.047904,32.057428,0
285.074352,32.054086,0
285.100798,32.050741,0
285.127243,32.047391,0
285.153686,32.044036,0
285.180127,32.040677,0
285.206567,32.037314,0
285.233006,32.033946,0
285.259443,32.030574,0
285.285878,32.027198,0
285.312312,32.023817,0
285.338744,32.020432,0
285.365175,32.017042,0
285.391604,32.013648,0
285.418031,32.010250,0
285.444457,32.006847,0
285.470882,32.003440,0
285.497305,32.000028,0
285.523726,31.996612,0
285.550146,31.993192,0
285.576564,31.989767,0
285.602981,31.986338,0
274.421926,33.057954,0
274.448836,33.056382,0
274.475745,33.054805,0
274.502654,33.053224,0
274.529561,33.051638,0
274.556468,33.050048,0
274.583375,33.048453,0
274.610280,33.046854,0
274.637185,33.045251,0
274.664089,33.043643,0
274.690992,33.042030,0
274.717895,33.040413,0
274.744796,33.038791,0
274.771697,33.037165,0
274.798597,33.035535,0
274.825497,33.033900,0
274.852395,33.032261,0
274.879293,33.030617,0
274.906190,33.028968,0
274.933086,33.027315,0
274.959982,33.025658,0
274.986877,33.023996,0
275.013771,33.022330,0
275.040664,33.020659,0
275.067556,33.018984,0
275.094447,33.017304,0
275.121338,33.015620,0
275.148228,33.013931,0
275.175117,33.012238,0
275.202006,33.010540,0
275.228893,33.008838,0
275.255780,33.007131,0
275.282666,33.005420,0
275.309551,33.003705,0
275.336435,33.001984,0
275.363319,33.000260,0
275.390201,32.998531,0
275.417083,32.996797,0
275.443964,32.995059,0
275.470844,32.993317,0
275.497724,32.991570,0
275.524602,32.989819,0
275.551480,32.988063,0
275.578357,32.986302,0
275.605233,32.984537,0
275.632108,32.982768,0
275.658983,32.980994,0
275.685856,32.979216,0
275.712729,32.977433,0
275.739601,32.975646,0
275.766472,32.973854,0
275.793342,32.972058,0
275.820211,32.970257,0
275.847080,32.968452,0
275.873947,32.966643,0
275.900814,32.964829,0
275.927680,32.963010,0
275.954545,32.961187,0
275.981409,32.959359,0
276.008273,32.957527,0
276.035135,32.955691,0
276.061997,32.953850,0
276.088857,32.952005,0
276.115717,32.950155,0
276.142576,32.948300,0
276.169434,32.946442,0
276.196291,32.944578,0
276.223148,32.942710,0
276.250003,32.940838,0
276.276858,32.938961,0
276.303711,32.937080,0
276.330564,32.935195,0
276.357416,32.933304,0
276.384267,32.931410,0
